"","Node","group","group_color"
"249","PATHWAY_PWY_7209._superpathway_of_pyrimidine_ribonucleosides_degradation","Up_PDvHC","#aec7e8"
"250","PATHWAY_PWY_7210._pyrimidine_deoxyribonucleotides_biosynthesis_from_CTP","None","#c7c7c7"
"251","PATHWAY_PWY_7211._superpathway_of_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis","Down_PDvHC","#1f77b4"
"252","PATHWAY_PWY_7219._adenosine_ribonucleotides_de_novo_biosynthesis","Down_PDvPC","#ff7f0e"
"253","PATHWAY_PWY_7220._adenosine_deoxyribonucleotides_de_novo_biosynthesis_II","None","#c7c7c7"
"254","PATHWAY_PWY_7221._guanosine_ribonucleotides_de_novo_biosynthesis","None","#c7c7c7"
"255","PATHWAY_PWY_7222._guanosine_deoxyribonucleotides_de_novo_biosynthesis_II","None","#c7c7c7"
"256","PATHWAY_PWY_7228._superpathway_of_guanosine_nucleotides_de_novo_biosynthesis_I","None","#c7c7c7"
"257","PATHWAY_PWY_7229._superpathway_of_adenosine_nucleotides_de_novo_biosynthesis_I","None","#c7c7c7"
"258","PATHWAY_PWY_7234._inosine_5_phosphate_biosynthesis_III","None","#c7c7c7"
"259","PATHWAY_PWY_7235._superpathway_of_ubiquinol_6_biosynthesis_(eukaryotic)","None","#c7c7c7"
"260","PATHWAY_PWY_7237._myo_,_chiro__and_scillo_inositol_degradation","None","#c7c7c7"
"261","PATHWAY_PWY_7242._D_fructuronate_degradation","Down_PDvHC","#1f77b4"
"262","PATHWAY_PWY_724._superpathway_of_L_lysine,_L_threonine_and_L_methionine_biosynthesis_II","None","#c7c7c7"
"263","PATHWAY_PWY_7254._TCA_cycle_VII_(acetate_producers)","None","#c7c7c7"
"264","PATHWAY_PWY_7269._NAD/NADP_NADH/NADPH_mitochondrial_interconversion_(yeast)","None","#c7c7c7"
"265","PATHWAY_PWY_7282._4_amino_2_methyl_5_phosphomethylpyrimidine_biosynthesis_(yeast)","None","#c7c7c7"
"266","PATHWAY_PWY_7286._7_(3_amino_3_carboxypropyl)_wyosine_biosynthesis","None","#c7c7c7"
"267","PATHWAY_PWY_7315._dTDP_N_acetylthomosamine_biosynthesis","Up_PDvHC","#aec7e8"
"268","PATHWAY_PWY_7323._superpathway_of_GDP_mannose_derived_O_antigen_building_blocks_biosynthesis","Down_PDvHC","#1f77b4"
"269","PATHWAY_PWY_7328._superpathway_of_UDP_glucose_derived_O_antigen_building_blocks_biosynthesis","None","#c7c7c7"
"270","PATHWAY_PWY_7357._thiamin_formation_from_pyrithiamine_and_oxythiamine_(yeast)","None","#c7c7c7"
"271","PATHWAY_PWY_7371._1,4_dihydroxy_6_naphthoate_biosynthesis_II","None","#c7c7c7"
"272","PATHWAY_PWY_7383._anaerobic_energy_metabolism_(invertebrates,_cytosol)","None","#c7c7c7"
"273","PATHWAY_PWY_7388._octanoyl_[acyl_carrier_protein]_biosynthesis_(mitochondria,_yeast)","None","#c7c7c7"
"274","PATHWAY_PWY_7392._taxadiene_biosynthesis_(engineered)","None","#c7c7c7"
"275","PATHWAY_PWY_7400._L_arginine_biosynthesis_IV_(archaebacteria)","None","#c7c7c7"
"276","PATHWAY_PWY_7409._phospholipid_remodeling_(phosphatidylethanolamine,_yeast)","None","#c7c7c7"
"277","PATHWAY_PWY_7446._sulfoglycolysis","Up_PDvHC","#aec7e8"
"278","PATHWAY_PWY_7456._mannan_degradation","Down_PDvHC","#1f77b4"
"279","PATHWAY_PWY_7539._6_hydroxymethyl_dihydropterin_diphosphate_biosynthesis_III_(Chlamydia)","None","#c7c7c7"
"280","PATHWAY_PWY_7560._methylerythritol_phosphate_pathway_II","Up_PDvBoth","#98df8a"
"281","PATHWAY_PWY_7663._gondoate_biosynthesis_(anaerobic)","None","#c7c7c7"
"282","PATHWAY_PWY_7664._oleate_biosynthesis_IV_(anaerobic)","None","#c7c7c7"
"283","PATHWAY_PWY_821._superpathway_of_sulfur_amino_acid_biosynthesis_(Saccharomyces_cerevisiae)","None","#c7c7c7"
"284","PATHWAY_PWY_841._superpathway_of_purine_nucleotides_de_novo_biosynthesis_I","None","#c7c7c7"
"285","PATHWAY_PWY_922._mevalonate_pathway_I","Up_PDvBoth","#98df8a"
"286","PATHWAY_PWY0_1061._superpathway_of_L_alanine_biosynthesis","Up_PDvHC","#aec7e8"
"287","PATHWAY_PWY0_1241._ADP_L_glycero_&beta;_D_manno_heptose_biosynthesis","None","#c7c7c7"
"288","PATHWAY_PWY0_1261._anhydromuropeptides_recycling","Up_PDvBoth","#98df8a"
"289","PATHWAY_PWY0_1277._3_phenylpropanoate_and_3_(3_hydroxyphenyl)propanoate_degradation","None","#c7c7c7"
"290","PATHWAY_PWY0_1296._purine_ribonucleosides_degradation","None","#c7c7c7"
"291","PATHWAY_PWY0_1297._superpathway_of_purine_deoxyribonucleosides_degradation","None","#c7c7c7"
"292","PATHWAY_PWY0_1298._superpathway_of_pyrimidine_deoxyribonucleosides_degradation","None","#c7c7c7"
"293","PATHWAY_PWY0_1319._CDP_diacylglycerol_biosynthesis_II","Down_PDvBoth","#2ca02c"
"294","PATHWAY_PWY0_1338._polymyxin_resistance","Up_PDvHC","#aec7e8"
"295","PATHWAY_PWY0_1415._superpathway_of_heme_biosynthesis_from_uroporphyrinogen_III","Up_PDvHC","#aec7e8"
"296","PATHWAY_PWY0_1479._tRNA_processing","None","#c7c7c7"
"297","PATHWAY_PWY0_1533._methylphosphonate_degradation_I","Up_PDvBoth","#98df8a"
"298","PATHWAY_PWY0_1586._peptidoglycan_maturation_(meso_diaminopimelate_containing)","None","#c7c7c7"
"299","PATHWAY_PWY0_162._superpathway_of_pyrimidine_ribonucleotides_de_novo_biosynthesis","Up_PDvHC","#aec7e8"
"300","PATHWAY_PWY0_166._superpathway_of_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_(E._coli)","None","#c7c7c7"
"301","PATHWAY_PWY0_41._allantoin_degradation_IV_(anaerobic)","None","#c7c7c7"
"302","PATHWAY_PWY0_781._aspartate_superpathway","Up_PDvHC","#aec7e8"
"303","PATHWAY_PWY0_845._superpathway_of_pyridoxal_5_phosphate_biosynthesis_and_salvage","None","#c7c7c7"
"304","PATHWAY_PWY0_862._(5Z)_dodec_5_enoate_biosynthesis","None","#c7c7c7"
"305","PATHWAY_PWY3O_19._ubiquinol_6_biosynthesis_from_4_hydroxybenzoate_(eukaryotic)","None","#c7c7c7"
"306","PATHWAY_PWY490_3._nitrate_reduction_VI_(assimilatory)","None","#c7c7c7"
