"","Node","group","group_color"
"113","s__Phascolarctobacterium_succinatutens","None","#c7c7c7"
"114","s__Dialister_invisus","None","#c7c7c7"
"115","s__Veillonella_atypica","None","#c7c7c7"
"116","s__Veillonella_dispar","None","#c7c7c7"
"117","s__Veillonella_parvula","None","#c7c7c7"
"118","s__Veillonella_unclassified","None","#c7c7c7"
"119","s__Burkholderiales_bacterium_1_1_47","None","#c7c7c7"
"120","s__Oxalobacter_formigenes","None","#c7c7c7"
"121","s__Parasutterella_excrementihominis","None","#c7c7c7"
"122","s__Sutterella_wadsworthensis","None","#c7c7c7"
"123","s__Bilophila_unclassified","None","#c7c7c7"
"124","s__Bilophila_wadsworthia","None","#c7c7c7"
"125","s__Desulfovibrio_desulfuricans","None","#c7c7c7"
"126","s__Desulfovibrio_piger","None","#c7c7c7"
"127","s__Escherichia_coli","None","#c7c7c7"
"128","s__Escherichia_unclassified","None","#c7c7c7"
"129","s__Klebsiella_pneumoniae","None","#c7c7c7"
"130","s__Haemophilus_parainfluenzae","None","#c7c7c7"
"131","s__Pseudomonas_unclassified","None","#c7c7c7"
"132","s__Akkermansia_muciniphila","None","#c7c7c7"
"133","s__C2likevirus_unclassified","None","#c7c7c7"
"134","donor_group_HC","Donor_Group","#d62728"
"135","donor_group_PC","Donor_Group","#d62728"
"136","donor_group_PD","Donor_Group","#d62728"
